"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","11-abr-26","12-abr-26","13-abr-26","14-abr-26","15-abr-26",""
"Módulo / Épico","EP-3 Configuración Académica","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 2 — Configuración Académica","","","Módulo Años Lectivos — CRUD y lógica de año activo","I","H1","","",""
"Responsable","Luis Cueva","","","Módulo Materias — CRUD completo","","","H2","",""
"Estado","Completado","","","Módulo Cursos — creación y asignación de materias","","","","H3",""
"Etapa","Desarrollo","","","Dashboard del Administrador y páginas de listado","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","11-abr-2026","","","","","","","",""
"","","","","","","","","",""
