"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","16-abr-26","17-abr-26","18-abr-26","19-abr-26","20-abr-26",""
"Módulo / Épico","EP-4 Matrículas","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 3 — Matrículas y Dashboard","","","Módulo Matrículas — backend y validación de un curso por año","I","H1","","",""
"Responsable","Luis Cueva","","","Módulo Matrículas — frontend e interfaz de inscripción","","","H2","",""
"Estado","Completado","","","Traslado de estudiantes entre cursos del mismo año lectivo","","","","H3",""
"Etapa","Desarrollo","","","Dashboard del Profesor y página Participantes + vista Mis Materias (estudiante)","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","16-abr-2026","","","","","","","",""
"","","","","","","","","",""
