"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","21-abr-26","22-abr-26","23-abr-26","24-abr-26","25-abr-26",""
"Módulo / Épico","EP-5 Parciales y Actividades + EP-6 Evidencias","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 4 — Actividades y Evidencias","","","Módulo Parciales — creación de los 3 parciales por curso-materia","I","H1","","",""
"Responsable","Luis Cueva","","","Módulo Actividades — backend con validaciones de límite por tipo (EXAMEN/PRUEBA/PROYECTO)","","","H2","",""
"Estado","Completado","","","Módulo Evidencias — subida y almacenamiento de PDF (multipart/form-data)","","","","H3",""
"Etapa","Desarrollo","","","Vista Actividades del estudiante con indicadores de estado (verde/gris/rojo) y vista Evidencias del profesor","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","21-abr-2026","","","","","","","",""
"","","","","","","","","",""
