"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","26-abr-26","27-abr-26","28-abr-26","29-abr-26","30-abr-26",""
"Módulo / Épico","EP-7 Calificaciones","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 5 — Calificaciones y Promedios","","","Módulo Calificaciones — backend con cálculo ponderado (TAREA 20% PRUEBA 20% PROYECTO 25% EXAMEN 35%)","I","H1","","",""
"Responsable","Luis Cueva","","","Módulo Calificaciones — frontend: flujo 3 pasos (Parcial → Actividad → Lista estudiantes)","","","H2","",""
"Estado","Completado","","","Módulo Promedios — cálculo automático por parcial y promedio final de materia","","","","H3",""
"Etapa","Desarrollo","","","Vista Calificaciones para profesor (3 pestañas) + vista admin (tabla Año → Curso) + vista estudiante (Mis Materias)","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","26-abr-2026","","","","","","","",""
"","","","","","","","","",""
