"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","01-may-26","02-may-26","03-may-26","04-may-26","05-may-26",""
"Módulo / Épico","EP-8 Reportes PDF","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 6 — Reportes y Cierre del Proyecto","","","Descarga PDF Calificaciones — profesor y administrador (CSS @media print)","I","H1","","",""
"Responsable","Luis Cueva","","","Descarga PDF Boletín de notas — estudiante (vista Mis Materias)","","","H2","",""
"Estado","Completado","","","Pruebas integrales de los 3 roles (Administrador / Profesor / Estudiante)","","","","H3",""
"Etapa","Desarrollo","","","Corrección de bugs + Manual de Usuario + Revisión final y entrega del proyecto","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","01-may-2026","","","","","","","",""
"","","","","","","","","",""
